DATE,TIME,CLASS,
"Jun 5, 2021",5:00 pm,Yoga-Strong - Sumit Manav,
"Jun 4, 2021",4:30 pm,Advance Yoga Asanas - Sumit Manav,
"Jun 3, 2021",4:30 pm,Yin Yoga - Sumit Manav,
"Jun 2, 2021",5:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Jun 1, 2021",4:30 pm,Suksham Yoga - Shivani Negi,
"May 31, 2021",6:30 pm,Music Beat Power Yoga - Shivani Negi,
"May 30, 2021",6:00 pm,Agni Yoga (Medium to Advance) - Sumit Manav,
"May 29, 2021",5:00 pm,Yoga Alignment - Sumit Manav,
"May 27, 2021",6:00 pm,Dynamic Vinyasa - Sumit Manav,
"May 26, 2021",5:00 pm,Yoga-Tox - Shivani Negi,
"May 25, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"May 25, 2021",4:30 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"May 24, 2021",4:30 pm,Yoga-Strong - Tanu Dhawan,
"May 23, 2021",4:30 pm,Mobility Yoga - Shivani Negi,
"May 22, 2021",4:30 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"May 21, 2021",4:30 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"May 18, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"May 17, 2021",6:30 pm,Music Beat Power Yoga - Sumit Manav,
"May 16, 2021",4:30 pm,Mobility Yoga - Shivani Negi,
"May 15, 2021",4:30 pm,Advance Yoga Asanas - Sumit Manav,
"May 15, 2021",3:00 pm,PRANAYAMA FUNDRAISING WORKSHOP FOR GIVE INDIA - Sumit Manav,
"May 14, 2021",12:30 pm,Suksham Yoga and Yoga Nidra - Sumit Manav,
"May 13, 2021",5:30 pm,Yoga-Strong - Tanu Dhawan,
"May 12, 2021",5:30 pm,Music Beat Power Yoga - Shivani Negi,
"May 11, 2021",5:30 pm,Dynamic Vinyasa - Sumit Manav,
"May 10, 2021",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"May 9, 2021",4:00 pm,Ramadan yoga challenge online - Lifestyle Yoga,
"May 8, 2021",4:00 pm,Ramadan yoga challenge online - Lifestyle Yoga,
"May 7, 2021",4:00 pm,Chakra Yoga Flow - Sumit Manav,
"May 6, 2021",6:00 pm,Yoga-Strong - Sumit Manav,
"May 5, 2021",6:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"May 4, 2021",6:00 pm,Yin Yoga - Sumit Manav,
"May 3, 2021",4:00 pm,Ramadan yoga challenge online - Sumit Manav,
"May 2, 2021",11:30 am,Yin Yoga - Shivani Negi,
"Apr 29, 2021",6:00 pm,Yoga-Strong - Sumit Manav,
"Apr 28, 2021",6:00 pm,Dynamic Vinyasa - Sumit Manav,
"Apr 27, 2021",6:00 pm,Yin & Yang - Sumit Manav,
"Apr 26, 2021",6:00 pm,Full Moon Yoga & Meditation - Sumit Manav,
"Apr 26, 2021",11:30 am,Classical Hatha Yoga - Shivani Negi,
"Apr 25, 2021",4:00 pm,Ramadan yoga challenge online - Lifestyle Yoga,
"Apr 24, 2021",6:00 pm,Yoga Alignment - Tanu Dhawan,
"Apr 22, 2021",6:00 pm,Yoga-Strong - Sumit Manav,
"Apr 21, 2021",6:00 pm,Mobility Yoga - Sumit Manav,
"Apr 21, 2021",11:30 am,YogiNa or Vinyasa Flow - Shivani Negi,
"Apr 20, 2021",6:00 pm,Suksham Yoga - Sumit Manav,
"Apr 19, 2021",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Apr 18, 2021",4:00 pm,Ramadan yoga challenge online - Lifestyle Yoga,
"Apr 15, 2021",6:00 pm,Yoga-Strong - Sumit Manav,
"Apr 14, 2021",6:00 pm,Mobility Yoga - Sumit Manav,
"Apr 14, 2021",11:30 am,YogiNa or Vinyasa Flow - Shivani Negi,
"Apr 13, 2021",6:00 pm,Suksham Yoga - Sumit Manav,
"Apr 12, 2021",6:00 pm,Music Beat Power Yoga - Tanu Dhawan,
"Apr 11, 2021",4:30 pm,Mobility Yoga - Sumit Manav,
"Apr 10, 2021",4:00 pm,Yoga-Strong - Sumit Manav,
"Apr 8, 2021",7:00 pm,Dynamic Vinyasa - Ritesh Manav,
"Apr 7, 2021",6:00 pm,Classical Hatha Yoga - Ritesh Manav,
"Apr 6, 2021",7:00 pm,Yoga-Tox - Ritesh Manav,
"Apr 5, 2021",6:00 pm,Music Beat Power Yoga - Ritesh Manav,
"Apr 4, 2021",11:30 am,Yin Yoga - Shivani Negi,
"Apr 3, 2021",11:30 am,Yoga-Tox - Shivani Negi,
"Apr 1, 2021",7:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"Mar 31, 2021",6:00 pm,Classical Hatha Yoga - Shivani Negi,
"Mar 30, 2021",7:00 pm,Yoga-Tox - Tanu Dhawan,
"Mar 29, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Mar 28, 2021",5:30 pm,Mobility Yoga - Sumit Manav,
"Mar 27, 2021",4:30 pm,Yoga-Strong - Tanu Dhawan,
"Mar 25, 2021",7:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"Mar 24, 2021",6:00 pm,Classical Hatha Yoga - Tanu Dhawan,
"Mar 23, 2021",7:00 pm,Yoga-Tox - Tanu Dhawan,
"Mar 22, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Mar 21, 2021",5:30 pm,Mobility Yoga - Tanu Dhawan,
"Mar 20, 2021",4:30 pm,Yoga-Strong - Tanu Dhawan,
"Mar 18, 2021",7:15 pm,Dynamic Vinyasa - Tanu Dhawan,
"Mar 17, 2021",6:00 pm,Classical Hatha Yoga - Shivani Negi,
"Mar 16, 2021",7:15 pm,Yoga-Tox - Tanu Dhawan,
"Mar 15, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Mar 14, 2021",4:00 pm,Mobility Yoga - Shivani Negi,
"Mar 13, 2021",6:00 pm,Yoga-Strong - Tanu Dhawan,
"Mar 11, 2021",7:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"Mar 10, 2021",6:00 pm,Classical Hatha Yoga - Shivani Negi,
"Mar 8, 2021",6:00 pm,Music Beat Power Yoga - Tanu Dhawan,
"Mar 7, 2021",4:00 pm,Agni Yoga (Medium to Advance) - Shivani Negi,
"Mar 6, 2021",4:30 pm,Yoga-Strong - Tanu Dhawan,
"Mar 4, 2021",7:15 pm,Dynamic Vinyasa - Shivani Negi,
"Mar 3, 2021",6:00 pm,Classical Hatha Yoga - Shivani Negi,
"Mar 2, 2021",7:00 pm,Yoga-Tox - Shivani Negi,
"Mar 1, 2021",6:00 pm,Music Beat Power Yoga - Tanu Dhawan,
"Feb 28, 2021",5:30 pm,Mobility Yoga - Shivani Negi,
"Feb 25, 2021",7:00 pm,Dynamic Vinyasa - Shivani Negi,
"Feb 24, 2021",6:00 pm,Classical Hatha Yoga - Tanu Dhawan,
"Feb 23, 2021",11:30 am,Dynamic Vinyasa - Shivani Negi,
"Feb 22, 2021",11:30 am,Classical Hatha Yoga - Tanu Dhawan,
"Feb 21, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Feb 20, 2021",5:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Feb 18, 2021",7:00 pm,Dynamic Vinyasa - Sumit Manav,
"Feb 17, 2021",6:00 pm,Classical Hatha Yoga - Tanu Dhawan,
"Feb 16, 2021",7:00 pm,Yoga-Tox - Sumit Manav,
"Feb 15, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Feb 14, 2021",5:00 pm,Mobility Yoga - Shivani Negi,
"Feb 13, 2021",4:30 pm,Yoga-Strong - Shivani Negi,
"Feb 11, 2021",7:00 pm,Dynamic Vinyasa - Sumit Manav,
"Feb 10, 2021",6:00 pm,Classical Hatha Yoga - Shivani Negi,
"Feb 9, 2021",7:00 pm,Yoga-Tox - Sumit Manav,
"Feb 8, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Feb 7, 2021",5:30 pm,Mobility Yoga - Sumit Manav,
"Feb 6, 2021",4:30 pm,Yoga-Strong - Shivani Negi,
"Feb 4, 2021",7:00 pm,Dynamic Vinyasa - Sumit Manav,
"Feb 3, 2021",6:00 pm,Classical Hatha Yoga - Sumit Manav,
"Feb 2, 2021",7:00 pm,Yoga-Tox - Sumit Manav,
"Feb 1, 2021",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Jan 31, 2021",5:30 pm,Mobility Yoga - Shivani Negi,
"Jan 30, 2021",4:30 pm,Dynamic Vinyasa - Tanu Dhawan,
"Jan 28, 2021",7:00 pm,Dynamic Vinyasa - Shivani Negi,
"Jan 27, 2021",6:00 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"Jan 26, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Jan 25, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Jan 24, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Jan 23, 2021",5:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Jan 22, 2021",12:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Jan 21, 2021",7:00 pm,Dynamic Vinyasa - Ritesh Manav,
"Jan 20, 2021",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Jan 19, 2021",7:00 pm,Yoga-Tox - Sumit Manav,
"Jan 18, 2021",6:00 pm,Music Beat Power Yoga - Shivani Negi,
"Jan 17, 2021",5:30 pm,Mobility Yoga - Tanu Dhawan,
"Jan 16, 2021",4:30 pm,Dynamic Vinyasa - Shivani Negi,
"Jan 14, 2021",7:00 pm,Dynamic Vinyasa - Ritesh Manav,
"Jan 13, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Jan 12, 2021",7:00 pm,Yoga-Tox - Tanu Dhawan,
"Jan 11, 2021",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Jan 10, 2021",5:30 pm,Mobility Yoga - Sumit Manav,
"Jan 9, 2021",4:30 pm,Dynamic Vinyasa - Sumit Manav,
"Jan 7, 2021",7:00 pm,Dynamic Vinyasa - Ritesh Manav,
"Jan 6, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Jan 5, 2021",7:00 pm,Yoga-Tox - Sumit Manav,
"Jan 4, 2021",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Jan 3, 2021",5:30 pm,Mobility Yoga - Sumit Manav,
"Dec 30, 2020",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Dec 29, 2020",7:00 pm,Yoga-Tox - Tanu Dhawan,
"Dec 28, 2020",6:00 pm,Music Beat Power Yoga - Tanu Dhawan,
"Dec 27, 2020",7:00 pm,Agni Yoga (Medium to Advance) - Tanu Dhawan,
"Dec 26, 2020",4:30 pm,Dynamic Vinyasa - Tanu Dhawan,
"Dec 24, 2020",7:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"Dec 23, 2020",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Dec 22, 2020",7:00 pm,Yoga-Tox - Tanu Dhawan,
"Dec 21, 2020",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Dec 20, 2020",5:30 pm,Mobility Yoga - Sumit Manav,
"Dec 19, 2020",6:15 pm,Yoga Alignment - Tanu Dhawan,
"Dec 17, 2020",7:00 pm,Dynamic Vinyasa - Sumit Manav,
"Dec 16, 2020",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Dec 15, 2020",7:00 pm,Yoga-Tox - Sumit Manav,
"Dec 14, 2020",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Dec 13, 2020",5:30 pm,Mobility Yoga - Tanu Dhawan,
"Dec 12, 2020",6:00 pm,Yoga Alignment - Tanu Dhawan,
"Dec 10, 2020",7:00 pm,Dynamic Vinyasa - Tanu Dhawan,
"Dec 9, 2020",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Dec 8, 2020",7:00 pm,Yoga-Tox - Sumit Manav,
"Dec 7, 2020",6:00 pm,Music Beat Power Yoga - Ritesh Manav,
"Dec 6, 2020",5:30 pm,Mobility Yoga - Ritesh Manav,MARKED LATE CANCEL
"Dec 5, 2020",6:30 pm,Yoga Alignment - Ritesh Manav,
"Dec 2, 2020",6:00 pm,YogiNa or Vinyasa Flow - Ritesh Manav,
"Dec 1, 2020",7:00 pm,Yoga-Tox - Ritesh Manav,
"Nov 30, 2020",7:00 pm,Music Beat Power Yoga - Tanu Dhawan,
"Nov 29, 2020",6:30 pm,Agni Yoga (Medium to Advance) - Tanu Dhawan,
"Nov 28, 2020",4:30 pm,Dynamic Vinyasa - Ritesh Manav,
"Nov 25, 2020",7:00 pm,Yin Yoga - Ritesh Manav,
"Nov 24, 2020",6:30 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Nov 18, 2020",11:30 am,Music Beat Power Yoga - Lifestyle Yoga,
"Nov 17, 2020",4:30 pm,Yoga Alignment - Lifestyle Yoga,
"Nov 16, 2020",7:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Nov 15, 2020",6:30 pm,Chakra Yoga Flow - Lifestyle Yoga,
"Nov 11, 2020",11:30 am,Mobility Yoga - Lifestyle Yoga,
"Nov 10, 2020",4:30 pm,Chakra Yoga Flow - Lifestyle Yoga,
"Nov 9, 2020",7:00 pm,Yoga Alignment - Sumit Manav,
"Nov 8, 2020",6:30 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 5, 2020",6:30 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Nov 4, 2020",5:00 pm,Yoga-Strong - Ritesh Manav,
"Nov 3, 2020",7:10 pm,Music Beat Power Yoga - Sumit Manav,
"Nov 2, 2020",7:00 pm,Yoga Alignment - Sumit Manav,
"Oct 29, 2020",7:00 pm,Yoga & Chakra Awakening - Sumit Manav,
"Oct 28, 2020",7:00 pm,Yoga & Chakra Awakening - Sumit Manav,
"Oct 25, 2020",7:00 pm,Yoga & Chakra Awakening - Sumit Manav,
"Oct 21, 2020",11:30 am,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Oct 20, 2020",7:00 pm,Mobility Yoga - Lifestyle Yoga,
"Oct 19, 2020",6:00 pm,Music Beat Power Yoga - Sumit Manav,
"Oct 18, 2020",5:30 pm,Mobility Yoga - Sumit Manav,
"Oct 14, 2020",6:00 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Oct 13, 2020",7:00 pm,Yoga-Tox - Lifestyle Yoga,
"Oct 11, 2020",7:00 pm,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Oct 7, 2020",6:00 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Oct 6, 2020",7:00 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Oct 5, 2020",6:00 pm,Mobility Yoga - Lifestyle Yoga,
"Sep 17, 2020",6:00 pm,Yoga-Tox - Sumit Manav,
"Sep 16, 2020",6:00 pm,Yoga-Strong - Lifestyle Yoga,
"Sep 14, 2020",6:45 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Sep 12, 2020",6:00 pm,Suksham Yoga - Lifestyle Yoga,
"Sep 10, 2020",6:00 pm,Yin & Yang - Ritesh Manav,
"Sep 3, 2020",6:00 pm,Agni Yoga (Medium to Advance) - Sumit Manav,
